train_acc,train_loss,val_acc,val_loss
0.009452631578947369,4.6086082,0.0104,4.6067023
0.008947368421052631,4.606452,0.0076,4.6063476
0.00863157894736842,4.6061378,0.0076,4.6066437
0.009221052631578948,4.6061087,0.007599999999999999,4.606825
0.00934736842105263,4.605965,0.006400000000000001,4.6067667
0.008926315789473685,4.605924,0.0068,4.607088
0.008842105263157896,4.6059375,0.0076,4.606904
0.009431578947368423,4.605829,0.006400000000000001,4.606731
0.008821052631578948,4.6058254,0.006400000000000001,4.6069427
0.00928421052631579,4.605817,0.0064,4.606738
0.009642105263157895,4.6057525,0.0072,4.606751
0.009136842105263157,4.6058307,0.007200000000000001,4.6067824
0.009642105263157895,4.6057415,0.0076,4.606796
0.009178947368421052,4.605739,0.0076,4.6069922
0.008673684210526316,4.6057405,0.0064,4.606836
0.009094736842105263,4.6057262,0.0064,4.606779
0.00922105263157895,4.6057115,0.006400000000000001,4.606952
0.009052631578947368,4.605712,0.0072,4.6067066
0.009052631578947368,4.6056886,0.0064,4.6069446
0.009073684210526317,4.605697,0.0072,4.6068287
0.00976842105263158,4.6056957,0.0064,4.6068807
0.009726315789473684,4.605674,0.007200000000000001,4.6068687
0.009452631578947369,4.60562,0.0064,4.6069016
0.009452631578947369,4.6056514,0.0064,4.606736
0.009157894736842104,4.6056013,0.0072,4.60685
0.008842105263157896,4.605588,0.0072,4.6069317
0.009305263157894737,4.605616,0.0076,4.60678
0.008757894736842105,4.605568,0.0064,4.6068087
0.009557894736842105,4.6055593,0.0064,4.606838
0.009410526315789475,4.6055555,0.0064,4.6068077
0.008589473684210527,4.6055603,0.0064,4.6067543
0.008947368421052631,4.6055436,0.0064,4.6068535
0.009810526315789474,4.6055365,0.0064,4.6069202
0.009410526315789473,4.6055193,0.0064,4.606838
0.00911578947368421,4.605515,0.0064,4.606872
0.009263157894736841,4.6054873,0.0064,4.606802
0.009600000000000001,4.605484,0.0064,4.6067715
0.009305263157894737,4.605477,0.0064,4.6068134
0.009536842105263156,4.6054864,0.0064,4.606925
0.008884210526315791,4.605478,0.006400000000000001,4.6067615
0.008863157894736842,4.6054516,0.006400000000000001,4.606778
0.008842105263157898,4.6054387,0.0064,4.6067705
0.009178947368421054,4.6054473,0.006400000000000001,4.6068068
0.009810526315789474,4.605423,0.0064,4.606864
0.00873684210526316,4.6054215,0.0064,4.606884
0.009242105263157895,4.60541,0.006400000000000001,4.606894
0.009957894736842107,4.605409,0.006400000000000001,4.606857
0.009726315789473682,4.6053963,0.006400000000000001,4.606856
0.009578947368421051,4.605378,0.0064,4.6068487
0.009557894736842105,4.6053843,0.0064,4.6068635
0.009894736842105263,4.605367,0.0064,4.6068597
0.009326315789473684,4.6053624,0.0064,4.606919
0.009494736842105262,4.6053658,0.0064,4.6068907
0.009957894736842107,4.6053452,0.0064,4.606866
0.009621052631578949,4.6053386,0.006400000000000001,4.606912
0.009452631578947367,4.6053433,0.0064,4.6068406
0.009326315789473686,4.6053247,0.0064,4.6068554
0.008947368421052631,4.6053276,0.0064,4.606849
0.0096,4.6053123,0.006400000000000001,4.606853
0.009242105263157895,4.6053033,0.006400000000000001,4.6068482
0.009389473684210526,4.605297,0.006400000000000001,4.6068544
0.00985263157894737,4.605295,0.006400000000000001,4.6068687
0.009684210526315788,4.605289,0.0064,4.606844
0.009705263157894736,4.6052785,0.0064,4.60687
0.009663157894736842,4.6052723,0.0064,4.606877
0.009915789473684211,4.6052637,0.0064,4.606878
0.010126315789473685,4.605259,0.0064,4.606843
0.009726315789473684,4.6052604,0.0064,4.6068664
0.00943157894736842,4.6052485,0.0064,4.6068645
0.00953684210526316,4.6052427,0.006400000000000001,4.6068897
0.009894736842105263,4.6052322,0.0064,4.606867
0.009789473684210527,4.605227,0.0064,4.606874
0.009705263157894736,4.605224,0.0064,4.6068645
0.009389473684210527,4.605216,0.0063999999999999994,4.6068597
0.010042105263157896,4.60521,0.006400000000000001,4.60686
0.010042105263157896,4.6052113,0.0064,4.6068606
0.009621052631578949,4.6052012,0.0064,4.606859
0.00991578947368421,4.605197,0.0064,4.606857
0.009957894736842107,4.605191,0.006400000000000001,4.6068587
0.009642105263157895,4.605186,0.0064,4.6068625
0.009936842105263159,4.6051807,0.0064,4.606854
0.00985263157894737,4.605179,0.0064,4.6068516
0.009705263157894736,4.6051755,0.006400000000000001,4.60685
0.010189473684210526,4.605171,0.006400000000000001,4.6068554
0.009536842105263156,4.6051664,0.0064,4.606857
0.009789473684210527,4.6051636,0.0064,4.606858
0.009915789473684211,4.6051593,0.0064,4.6068544
0.00976842105263158,4.6051574,0.0063999999999999994,4.606858
0.009957894736842107,4.605153,0.0064,4.6068587
0.009663157894736842,4.605151,0.0064,4.6068563
0.009852631578947368,4.6051493,0.006400000000000001,4.6068583
0.010042105263157894,4.605146,0.006400000000000001,4.6068587
0.009957894736842105,4.6051445,0.0064,4.6068597
0.009978947368421053,4.605143,0.0064,4.606861
0.009705263157894738,4.605141,0.0064,4.606858
0.010021052631578946,4.6051397,0.0063999999999999994,4.606861
0.010189473684210528,4.605139,0.006400000000000001,4.6068597
0.010189473684210526,4.605138,0.0064,4.60686
0.010063157894736843,4.6051373,0.0064,4.6068597
0.009957894736842107,4.605137,0.0064,4.606859
